Sony

0.1,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,13.5\std{1.2},27.6\std{2.0},11.6\std{1.0},1.3\std{0.3},11.4\std{0.9},29.8\std{1.9}
bdd,22.8\std{0.4},44.1\std{0.9},20.3\std{0.7},3.3\std{0.1},20.6\std{0.8},42.7\std{0.6}


0.05,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,15.1\std{0.2},31.4\std{0.7},13.0\std{0.6},1.8\std{0.1},14.4\std{0.6},30.6\std{1.6}
bdd,23.2\std{1.2},44.9\std{1.6},20.8\std{1.4},3.8\std{0.4},21.8\std{0.9},42.0\std{1.4}


0.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,3.1\std{0.5},7.2\std{1.5},2.1\std{0.2},0.3\std{0.1},2.5\std{0.7},7.0\std{1.5}
bdd,16.1\std{0.2},33.3\std{0.6},13.4\std{0.4},3.1\std{0.1},15.4\std{0.4},26.4\std{0.7}


Nikon

0.1,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,16.0\std{0.8},30.1\std{1.1},14.6\std{1.0},2.0\std{0.3},15.2\std{0.6},36.5\std{2.2}
bdd,21.4\std{0.7},39.6\std{1.2},19.6\std{1.0},2.6\std{0.2},20.1\std{0.7},46.1\std{1.0}


0.05,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,16.1\std{0.1},31.0\std{0.7},15.3\std{0.5},2.3\std{0.2},15.8\std{0.1},35.8\std{0.5}
bdd,21.9\std{0.2},41.2\std{0.3},19.8\std{0.3},3.1\std{0.1},20.6\std{0.1},45.3\std{1.4}


0.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,4.5\std{0.8},10.0\std{1.8},3.3\std{0.5},0.6\std{0.2},5.0\std{0.5},11.1\std{2.5}
bdd,17.8\std{0.3},34.1\std{0.9},15.4\std{0.5},3.1\std{0.4},17.6\std{0.4},32.5\std{0.9}


