Sony

1.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,27.6\std{0.4},49.3\std{0.8},27.3\std{0.7},1.6\std{0.1},23.6\std{0.6},58.0\std{1.0}
bdd,28.2\std{0.2},50.0\std{0.6},27.7\std{0.8},1.8\std{0.1},23.6\std{0.1},58.8\std{0.2}


0.05,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,29.5\std{0.4},51.7\std{0.6},29.1\std{0.7},2.9\std{0.3},25.2\std{0.2},58.0\std{1.6}
bdd,32.0\std{0.7},55.3\std{0.8},31.6\std{0.8},3.2\std{0.0},29.5\std{0.5},60.0\std{1.2}


0.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,17.4\std{1.0},34.0\std{1.3},16.2\std{1.6},1.8\std{0.1},15.8\std{0.6},39.7\std{2.3}
bdd,24.0\std{1.4},43.6\std{2.7},23.1\std{1.3},2.2\std{0.2},22.8\std{1.6},45.5\std{2.2}


Nikon

1.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,25.0\std{0.2},44.5\std{0.3},24.9\std{0.5},2.1\std{0.1},21.3\std{0.3},62.4\std{0.9}
bdd,25.8\std{0.5},45.5\std{0.8},25.7\std{0.9},2.4\std{0.0},22.0\std{0.6},62.6\std{0.2}


0.05,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,29.1\std{0.1},48.6\std{0.2},29.4\std{0.1},3.1\std{0.1},25.3\std{0.1},66.0\std{0.4}
bdd,32.0\std{0.3},53.1\std{0.5},32.1\std{0.4},4.2\std{0.2},28.6\std{0.2},68.7\std{0.5}


0.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,19.1\std{0.8},33.5\std{1.2},19.0\std{0.8},1.7\std{0.2},17.2\std{0.4},48.9\std{2.0}
bdd,25.2\std{1.2},43.9\std{2.6},24.3\std{1.1},3.1\std{0.2},23.9\std{1.3},53.8\std{2.8}


