Sony

1.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,27.6\std{0.4},49.3\std{0.2},27.0\std{0.9},1.6\std{0.2},23.0\std{0.1},57.9\std{0.5}
bdd,27.4\std{0.0},49.6\std{0.1},26.4\std{0.2},1.5\std{0.1},23.5\std{0.3},57.7\std{0.1}


0.05,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,31.0\std{0.3},54.8\std{0.5},31.0\std{0.5},3.2\std{0.1},27.0\std{0.3},60.6\std{0.4}
bdd,33.6\std{0.1},58.3\std{0.2},33.8\std{0.0},4.2\std{0.0},31.0\std{0.1},61.9\std{0.1}


0.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,26.1\std{0.5},48.8\std{0.1},25.0\std{1.2},2.6\std{0.1},23.4\std{0.3},53.6\std{1.7}
bdd,29.2\std{0.6},53.6\std{1.0},28.1\std{1.1},4.0\std{0.3},27.3\std{0.4},54.4\std{1.9}


Nikon

1.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,25.6\std{0.2},45.1\std{0.1},25.6\std{0.3},2.3\std{0.1},21.6\std{0.3},62.4\std{0.1}
bdd,25.1\std{0.3},44.6\std{0.9},24.9\std{0.2},2.3\std{0.3},20.9\std{0.8},62.4\std{0.2}


0.05,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,29.9\std{0.3},50.2\std{0.5},30.7\std{0.7},3.3\std{0.1},26.6\std{0.3},66.4\std{0.3}
bdd,32.6\std{0.1},54.3\std{0.2},32.6\std{0.7},4.9\std{0.1},29.0\std{0.3},69.2\std{0.2}


0.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,25.8\std{0.7},44.1\std{0.8},25.7\std{1.0},2.7\std{0.2},23.1\std{0.4},58.8\std{1.9}
bdd,28.8\std{0.6},49.8\std{0.9},27.6\std{0.9},4.3\std{0.4},26.8\std{0.1},59.9\std{2.1}


